Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Rathore, H., Wenzel, L., Al-Ali, A.K., Mohamed, A., Du, X., Guizani, M.","48361651200; 7003848438; 55671879000; 55763482600; 8371278000; 7004750176","Multi-layer perceptron model on chip for secure diabetic treatment",2018,"IEEE Access",6,"", 8409455,44718,44730,,9,10.1109/ACCESS.2018.2854822,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049795566&partnerID=40&md5=ad495535280a2f551af411c2ec896912",Article,Final,Open Access,Scopus,2-s2.0-85049795566
"Yin, H., Wang, Z., Jha, N.K.","56942777700; 57219027443; 7102310305","A hierarchical inference model for internet-of-things",2018,"IEEE Transactions on Multi-Scale Computing Systems",4,"3", 8328915,260,271,,9,10.1109/TMSCS.2018.2821154,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044714191&partnerID=40&md5=6dc3c025137bced0340b406d97542316",Article,Final,Open Access,Scopus,2-s2.0-85044714191
"Alnaggar, M., Bhanot, N.","55355370000; 57202107231","A machine learning approach for the identification of the Lattice Discrete Particle Model parameters",2018,"Engineering Fracture Mechanics",197,"",,160,175,,9,10.1016/j.engfracmech.2018.04.041,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047211793&partnerID=40&md5=2e6a947e933de1cff3c089d0203d7479",Article,Final,,Scopus,2-s2.0-85047211793
"Luo, Y., Fan, Z., Baek, S., Lu, J.","56829795800; 57217333851; 57191200449; 55701445700","Machine learning–aided exploration of relationship between strength and elastic properties in ascending thoracic aneurysm",2018,"International Journal for Numerical Methods in Biomedical Engineering",34,"6", e2977,,,,9,10.1002/cnm.2977,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044955693&partnerID=40&md5=41915db1e1e3cb4bd6df3fedcdc987e5",Article,Final,,Scopus,2-s2.0-85044955693
"Pilania, G., Liu, X.-Y.","26221914300; 36933959300","Machine learning properties of binary wurtzite superlattices",2018,"Journal of Materials Science",53,"9",,6652,6664,,9,10.1007/s10853-018-1987-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041279776&partnerID=40&md5=a40dbe9e4fd3b1f6415ef7dd076d898e",Article,Final,,Scopus,2-s2.0-85041279776
"Shen, J., Li, P.","56734869500; 56558930800","A tight bound of hard thresholding",2018,"Journal of Machine Learning Research",18,"",,1,42,,9,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048925588&partnerID=40&md5=60a57d835ef35ecf9071ea831a2be118",Article,Final,,Scopus,2-s2.0-85048925588
"Hoefer, M.J., Frank, M.C.","57196017317; 7402460127","Automated manufacturing process selection during conceptual design",2018,"Journal of Mechanical Design, Transactions of the ASME",140,"3", 031701,,,,9,10.1115/1.4038686,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041452486&partnerID=40&md5=857a6f3b3b2638321afa996fd0a2d4e9",Article,Final,,Scopus,2-s2.0-85041452486
"Batarseh, F.A., Gonzalez, A.J.","55579745600; 7404585054","Predicting failures in agile software development through data analytics",2018,"Software Quality Journal",26,"1",,49,66,,9,10.1007/s11219-015-9285-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84938810654&partnerID=40&md5=5dbbedc9e150289c84abe2281f791d7f",Article,Final,,Scopus,2-s2.0-84938810654
"Alswaina, F., Elleithy, K.","57204921533; 35576221100","Android Malware Permission-Based Multi-Class Classification Using Extremely Randomized Trees",2018,"IEEE Access",6,"", 8552361,76217,76227,,9,10.1109/ACCESS.2018.2883975,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85057773699&partnerID=40&md5=608155a665a27353d28ad843fc33dd76",Article,Final,Open Access,Scopus,2-s2.0-85057773699
"Chen, Y.-F., Lin, C.-S., Wang, K.-A., Rahman, L.O.A., Lee, D.-J., Chung, W.-S., Lin, H.-H.","57003792300; 57194205673; 24492691800; 57201290781; 7406665619; 55601054600; 8208317300","Design of a clinical decision support system for fracture prediction using imbalanced dataset",2018,"Journal of Healthcare Engineering",2018,"", 9621640,,,,9,10.1155/2018/9621640,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056083602&partnerID=40&md5=c52558fb2d38aa9a68d7256d58ba91c4",Article,Final,Open Access,Scopus,2-s2.0-85056083602
