Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Gao, Y., Guan, L., Wang, T.","25926475900; 55911739000; 55792257200","Triaxial accelerometer error coefficients identification with a novel artificial fish swarm algorithm",2015,"Journal of Sensors",2015,"", 509143,,,,4,10.1155/2015/509143,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84934897046&partnerID=40&md5=2f1115b7aebf394296f63224b5258b62",Article,Final,Open Access,Scopus,2-s2.0-84934897046
"Deng, Z.-L., Tan, G.-Z., He, P., Li, F.","7402665633; 7202393054; 55416843200; 56668990100","A dynamic recognition neighborhood based immune network classification algorithm and its performance analysis",2015,"Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology",37,"5",,1167,1172,,4,10.11999/JEIT141077,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930435570&partnerID=40&md5=dee77e9247f77ac8e27f57d3675281b3",Article,Final,,Scopus,2-s2.0-84930435570
"Hu, S., Li, F., Xi, Y., Wu, J.","15062691800; 56643378100; 15063602900; 56643426600","Novel simulation on coupling mechanism of risk formation segments for marine traffic system",2015,"Yingyong Jichu yu Gongcheng Kexue Xuebao/Journal of Basic Science and Engineering",23,"2",,409,419,,4,10.16058/j.issn.1005-0930.2015.02.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84929302400&partnerID=40&md5=439cd4a183212a62cf12289b8c95d4b8",Article,Final,,Scopus,2-s2.0-84929302400
"Yu, H., Shen, A., Su, Y.","57199292950; 15119975400; 55620136600","Continuous motion planning in complex and dynamic underwater environments",2015,"International Journal of Robotics and Automation",30,"2",,192,204,,4,10.2316/Journal.206.2015.2.206-4279,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84928718536&partnerID=40&md5=c3b9fd8935cd0714586660f3d41f99da",Article,Final,,Scopus,2-s2.0-84928718536
"Liao, Q., Wang, Y., Tang, F., Yang, J., Liu, D., Zha, X.","24178710300; 36678202200; 57200078576; 56925753600; 55532305300; 7102992433","Dual-stage method for islanding surface searching under interconnected power system",2015,"Gaodianya Jishu/High Voltage Engineering",41,"3",,739,746,,4,10.13336/j.1003-6520.hve.2015.03.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84928018128&partnerID=40&md5=b5af1e45e0723cd55f4d2b87cd17c339",Article,Final,,Scopus,2-s2.0-84928018128
"Wan, L., Liu, K.","48561972200; 7404199720","Traffic flow prediction model of highway tunnel based on PSO-Gaussian process coupled algorithm",2015,"Beijing Jiaotong Daxue Xuebao/Journal of Beijing Jiaotong University",39,"1",,33,39,,4,10.11860/j.issn.1673-0291-2015.01.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926362280&partnerID=40&md5=7a8726a2f7e4a4ae9f9a51a609914d2a",Article,Final,,Scopus,2-s2.0-84926362280
"Wang, T., Zhong, L., Chen, J.","55445076900; 56567280900; 55512049600","Choosing general Gaussian kernel parameters for multiclass pattern classification",2015,"Journal of Computational and Theoretical Nanoscience",12,"6",,1045,1049,,4,10.1166/jctn.2015.3848,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84925389787&partnerID=40&md5=de59ae1aed4dc28e73fbc1b19d377481",Article,Final,,Scopus,2-s2.0-84925389787
"Guan, F., Xie, D., Zhang, Q.","35731175700; 56464636600; 55627873084","Solutions for generalized interval cooperative games",2015,"Journal of Intelligent and Fuzzy Systems",28,"4",,1553,1564,,4,10.3233/IFS-141438,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924561421&partnerID=40&md5=d3c1b26e9b4d889e570a9cdba08db2e1",Article,Final,,Scopus,2-s2.0-84924561421
"Lv, S., Zhou, F.","36961359100; 56501113300","Optimal learning rates of l<sup>p</sup>-type multiple kernel learning under general conditions",2015,"Information Sciences",294,"",,255,268,,4,10.1016/j.ins.2014.09.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84922112265&partnerID=40&md5=7e8165115f246e3a0cf44c35bde0b507",Article,Final,,Scopus,2-s2.0-84922112265
"Wang, S., Peng, J., Liu, W.","26644468100; 54783275400; 57209316688","An ℓ<inf>2</inf>/ℓ<inf>1</inf> regularization framework for diverse learning tasks",2015,"Signal Processing",109,"",,206,211,,4,10.1016/j.sigpro.2014.11.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84917711061&partnerID=40&md5=d26fbcbeebb32fb2fbac98d50ae2bac3",Article,Final,,Scopus,2-s2.0-84917711061
