Genesereth, M.
Thielscher, M.
Kim, S.
Rahimi Azghadi, M.
Al-Sarawi, S.
Abbott, D.
Iannella, N.
Ong, M.-S.
Magrabi, F.
Coiera, E.
Wijesooriya, C.
Wang, Y.-G.
Beydoun, G.
Wolski, M.
Podsiadlo, P.
Stachowiak, G.W.
Rock, A.
Balachandran, B.
Rosenman, M.A.
Nallaperuma, D.
Nawaratne, R.
Bandaragoda, T.
Adikari, A.
Nguyen, S.
Kempitiya, T.
De Silva, D.
Pothuhera, D.
Graham, S.L.
Schulz, A.
Kalloniatis, M.
Zangerl, B.
Chua, B.
Arvind, H.
Grigg, J.
Chu, D.
Klistorner, A.
You, Y.
Sun, B.
Fernandez, M.
Barnard, A.S.
Yu, H.
Rezaee, R.
Han, T.
Arif, M.
Johnson, L.
Shendryk, I.
Broich, M.
Tulbure, M.G.
McGrath, A.
Keith, D.
Alexandrov, S.V.
Naderpour, M.
McLaughlin, J.E.
White, P.J.
Khanova, J.
Yuriev, E.
Turnbull, B.
Randhawa, S.
Schneider, S.
Murphy, R.J.
Melkumyan, A.
Goodswen, S.J.
Kennedy, P.J.
Ellis, J.T.
Mulholland, M.
Hibbert, D.B.
Haddad, P.R.
Parslov, P.
Roddick, J.F.
Patrick, J.D.
Weatherill, T.
Cameron, I.T.
Sinnott, R.O.
Stewart, J.
Sprivulis, P.
Dwivedi, G.
Gonzalez Viejo, C.
Fuentes, S.
Howell, K.
Torrico, D.
Dunshea, F.R.
Lee, G.
Hettiwatte, S.N.
Williams, K.
Houssami, N.
Lee, C.I.
Buist, D.S.M.
Yu, Y.
Gu, X.
Wu, W.
Leonard, R.
Bellette, K.
Cuddy, S.
Maheepala, S.
Sun, D.
Fu, M.
Zhu, L.
Lu, Q.
Jiang, F.
Larue, G.S.
Kim, I.
Rakotonirainy, A.
Haworth, N.L.
Ferreira, L.
Nguyen, D.H.M.
Thangarajah, J.
Padgham, L.
Field, M.
Pan, Z.
Stirling, D.
Naghdy, F.
Miah, S.J.
Kerr, D.V.
Gammack, J.G.
Li, D.
Crane, D.I.
Tran, T.H.
Nguyen, T.H.
Leung, H.-F.
Marling, C.
Sterling, L.
Doan, K.
Kerr, R.M.
Ebsary, R.V.
Noble, I.R.
Garbuio, M.
Lin, N.
Lal, A.
Datta, B.
Zare, F.
Elsawah, S.
Iwanaga, T.
Pierce, S.A.
Adi, E.
Baig, Z.
Bi, L.
Kumar, A.
Fulham, M.
Yu, C.
El-Shafie, A.
Najah, A.
Alsulami, H.M.
Jahanbani, H.
Merritt, M.
Varga, S.
Menary, R.
Singh, Z.
Ye, L.
Barbosa, M.S.
Wu, F.
Regan, M.A.
Young, K.L.
Triggs, T.J.
Tomasevic, N.
Mitsopoulos, E.
Tierney, P.
Healy, D.
Tingvall, C.
Stephan, K.
Appleton, B.
Leung, R.
Sweetser, P.
Johnson, D.
Chauhan, J.
Seneviratne, S.
Misra, A.
Seneviratne, A.
Lee, Y.
Chan, R.W.K.
Yuen, J.K.K.
Lee, E.W.M.
Meese, J.
Nansen, B.
Kohn, T.
Arnold, M.
Gibbs, M.
Hassanzadeh, H.
Groza, T.
Hunter, J.
Layton, R.
Watters, P.
Dazeley, R.
Bagirov, A.M.
Ugon, J.
Webb, D.
Poon, T.C.
Choy, K.L.
Chan, F.T.S.
Lau, H.C.W.
Xie, B.
Raylman, R.R.
Abraham, J.
Hazard, H.
Koren, C.
Filburn, S.
Schreiman, J.S.
Kurian, S.
Majewski, S.
Marano, G.D.
MacKie, T.R.
Tomé, W.A.
Wallace, S.J.
Morrison, J.L.
Botting, K.J.
Kee, T.W.
Humburg, P.
Bulger, D.
Stone, G.
Anderson, S.J.
Yu, W.
Dillon, T.
Mostafa, F.
Rahayu, W.
Yang, L.
Dong, X.
Khojasteh, P.
Aliahmad, B.
Kumar, D.K.
Sadowski, Ł.
Hoła, J.
Czarnecki, S.
Hou, Y.
Aldrich, C.
Lepkova, K.
