Jayadeva
Kendall, Elizabeth A.
Domke, J.
Rocha, A.
Carvalho, T.
Goldenstein, S.
Wainer, J.
Tang, J.
Zha, Z.-J.
Chua, T.-S.
Zhang, P.
Lin, X.
Shi, Y.
Du, B.
Wang, Z.
Zhang, L.
Liu, W.
Shen, J.
Altamura, D.
Avramidis, M.
Hosseini, H.G.
Luo, D.
Reynolds, K.J.
Pires-Silva, A.A.
Makarynska, D.
Ventura-Soares, C.
Shen, Q.
Jiang, B.
Lim, C.-C.
HaddadPajouh, H.
Dehghantanha, A.
Khayami, R.
Chaney, N.W.
Wood, E.F.
McBratney, A.B.
Hempel, J.W.
Nauman, T.W.
Brungard, C.W.
Odgers, N.P.
Bai, X.
Zhang, H.
Zhou, J.
Liu, D.
Seah, H.S.
Benosman, R.
Ieng, S.-H.
Clercq, C.
Bartolozzi, C.
Srinivasan, M.
Hensher, D.A.
Ton, T.T.
Zhou, Y.
Shehzad, Z.
Kelly, C.
Reiss, P.T.
Cameron Craddock, R.
Emerson, J.W.
McMahon, K.
Copland, D.A.
Xavier Castellanos, F.
Milham, M.P.
Popenici, S.A.D.
Kerr, S.
De Jong, J.T.A.
Verdoes Kleijn, G.A.
Erben, T.
Hildebrandt, H.
Kuijken, K.
Sikkema, G.
Brescia, M.
Bilicki, M.
Napolitano, N.R.
Amaro, V.
Begeman, K.G.
Boxhoorn, D.R.
Buddelmeijer, H.
Cavuoti, S.
Getman, F.
Grado, A.
Helmich, E.
Huang, Z.
Irisarri, N.
La Barbera, F.
Longo, G.
McFarland, J.P.
Nakajima, R.
Paolillo, M.
Puddu, E.
Radovich, M.
Rifatto, A.
Tortora, C.
Valentijn, E.A.
Vellucci, C.
Vriend, W.-J.
Amon, A.
Blake, C.
Choi, A.
Conti, I.F.
Gwyn, S.D.J.
Herbonnet, R.
Heymans, C.
Hoekstra, H.
Klaes, D.
Merten, J.
Miller, L.
Schneider, P.
Viola, M.
Abbasi, M.
El Hanandeh, A.
Berglund, E.
Sitte, J.
Ifenthaler, D.
Widanapathirana, C.
Lian, J.
Feng, Z.
Darabi, H.
Choubin, B.
Rahmati, O.
Torabi Haghighi, A.
Kløve, B.
Bui, D.-K.
Nguyen, T.
Chou, J.-S.
Nguyen-Xuan, H.
Ngo, T.D.
Baghban, A.
Bahadori, M.
Rozyn, J.
Lee, M.
Abbas, A.
Bahadori, A.
Rahimali, A.
Vucic, J.
Jungnickel, V.
Zhao, Y.
Li, B.
Karimi, H.R.
Kiral-Kornek, I.
Roy, S.
Nurse, E.
Mashford, B.
Karoly, P.
Carroll, T.
Payne, D.
Saha, S.
Baldassano, S.
O'Brien, T.
Grayden, D.
Cook, M.
Freestone, D.
Harrer, S.
Li, F.
Li, C.
Helmert, M.
Haslum, P.
Hoffmann, J.
Nissim, R.
Urmson, C.
Baker, C.
Dolan, J.
Rybski, P.
Salesky, B.
Whittaker, W.R.
Ferguson, D.
Darms, M.
Kuhn, M.
Featherstone, W.E.
Rose, G.
Shao, H.
Han, Q.-L.
Wu, S.
Liew, A.W.-C.
Yang, M.
Edwards, G.
Compton, P.
Malor, R.
Srinivasan, A.
Lazarus, L.
Lai, D.T.H.
Shahin, M.A.
Jaksa, M.B.
Maier, H.R.
Sherrah, J.
Janney, P.
Van Den Hengel, A.
Armaghani, D.J.
Momeni, E.
Abad, S.V.A.N.K.
Khandelwal, M.
Woodbury, R.F.
Burrow, A.L.
Sajedi-Hosseini, F.
Malekian, A.
Cipullo, S.
Coulon, F.
Mellor, A.
Boukir, S.
Haywood, A.
Jones, S.
Arnott, D.
Pervan, G.
Richards, J.A.
Asadi, H.
Dowling, R.
Yan, B.
Mitchell, P.
Gao, L.
Hailu, A.
Nguyen, A.N.
Lawley, M.J.
Hansen, D.P.
Bowman, R.V.
Clarke, B.E.
Duhig, E.E.
Colquist, S.
Oliensis, J.
Maetschke, S.R.
Madhamshettiwar, P.B.
Davis, M.J.
Ragan, M.A.
Sanderman, J.
Hengl, T.
Fiske, G.
Solvik, K.
Adame, M.F.
Benson, L.
Bukoski, J.J.
Carnell, P.
Cifuentes-Jara, M.
Donato, D.
Duncan, C.
Eid, E.M.
Ermgassen, P.Z.
Lewis, C.J.E.
Macreadie, P.I.
Glass, L.
Gress, S.
Jardine, S.L.
Jones, T.G.
Nsombo, E.N.
Rahman, M.M.
Sanders, C.J.
Spalding, M.
Landis, E.
Fallah, S.N.
Shojafar, M.
Conti, M.
Shamshirband, S.
Hernández-Orallo, J.
Dowe, D.L.
Qi, C.
Fourie, A.
Chen, Q.
Zhang, Q.
Wahid, F.
Hass, C.J.
Halgamuge, S.
Ackland, D.C.
Shibl, R.
Lawley, M.
Debuse, J.
Li, Y.
Zhong, N.
Pratama, M.
Anavatti, S.
Lughofer, E.
Lim, C.-P.
Anavatti, S.G.
Boyd, S.E.
Rudy, G.B.
De La Banda, M.G.
Winkler, D.A.
Bui, E.N.
Sparrow, R.
Tan, Z.
Jamdagni, A.
He, X.
Nanda, P.
Liu, R.P.
Alazab, M.
Dick, A.
Kutter, O.
Shams, R.
Navab, N.
Geng, H.
Lu, K.
Kolodziej, J.
Ranjan, R.
Zomaya, A.Y.
Dong, G.
Guo, W.W.
Tickle, K.
Veeraraghavan, A.
Chellappa, R.
Bui, D.T.
Shirzadi, A.
Chapi, K.
Khosravi, K.
Panahi, M.
Ahmad, B.B.
Saro, L.
Dutta, R.
Smith, D.
Rawnsley, R.
Bishop-Hurley, G.
Hills, J.
Timms, G.
Henry, D.
Zhou, L.
Yin, J.
Yeh, W.-C.
Acosta, O.
Bourgeat, P.
Zuluaga, M.A.
Fripp, J.
Salvado, O.
Ourselin, S.
May, D.B.
Sivakumar, M.
Brown, M.S.
Wilson, L.S.
Doust, B.D.
Gill, R.W.
Sun, C.
Mercurio, M.D.
Dambergs, R.G.
Cozzolino, D.
Herderich, M.J.
Smith, P.A.
Nebel, B.
Wibowo, S.
Deng, H.
Cai, S.
Su, K.
Cheng, P.C.-H.
Lowe, R.K.
Scaife, M.
Siers, M.J.
Islam, M.Z.
Yin, K.
Huang, J.
Gui, L.
Newham, L.T.H.
Cooke, T.
Lingard, H.
Blismas, N.
Stranieri, A.
Wang, D.D.
Tieu, A.K.
De Boer, F.G.
Ma, B.
Yuen, W.Y.D.
Christie, M.
de Graaff, E.
Julia Flores, M.
Nicholson, A.E.
Brunskill, A.
Korb, K.B.
Mascaro, S.
Gao, J.
Brooks, M.J.
van den Hengel, A.
Bischof, W.F.
Zeleznikow, J.
Gawler, M.
Lewis, B.
Soliamani, K.
Habibnejhad, M.
Kavian, A.
Pham, B.T.
Ahmad, A.
Bin Ahmad, B.
Wang, J.
Lu, H.
Guo, Z.
Talebi, R.
Ghiasi, M.M.
Talebi, H.
Mohammadyian, M.
Zendehboudi, S.
Arabloo, M.
Singh, V.
Gu, N.
Rahman, A.
Verma, B.
Goh, Y.M.
Chua, D.K.H.
Jin, H.
Chen, J.
He, H.
Williams, G.J.
Kelman, C.
O'Keefe, C.M.
Samui, P.
Kim, D.
Shen, K.-K.
Mériaudeau, F.
Chételat, G.
Chua, K.C.
Chandran, V.
Acharya, U.R.
Lim, C.M.
Lam, H.F.
Ng, C.T.
Soriano-Mas, C.
Pujol, J.
Alonso, P.
Cardoner, N.
Menchón, J.M.
Harrison, B.J.
Deus, J.
Vallejo, J.
Gaser, C.
Lemmer, J.F.
Gossink, D.E.
Shelesh-Nezhad, K.
Siores, E.
Gursoy, D.
Chi, O.H.
Lu, L.
Nunkoo, R.
Zheng, F.
Zecchin, A.C.
Newman, J.P.
Dandy, G.C.
Yeh, Y.-M.
Chang, P.-C.
Ke, Y.-C.
Chung, V.
Karunajeewa, A.S.
Abeyratne, U.R.
Hukins, C.
Yuan, Z.
Huber, T.
Burrage, K.
Purcell, A.T.
Gero, J.S.
Ström, P.
Kartasalo, K.
Olsson, H.
Solorzano, L.
Delahunt, B.
Berney, D.M.
Bostwick, D.G.
Evans, A.J.
Grignon, D.J.
Humphrey, P.A.
Iczkowski, K.A.
Kench, J.G.
Kristiansen, G.
van der Kwast, T.H.
Leite, K.R.M.
McKenney, J.K.
Oxley, J.
Pan, C.-C.
Samaratunga, H.
Srigley, J.R.
Takahashi, H.
Tsuzuki, T.
Varma, M.
Zhou, M.
Lindberg, J.
Lindskog, C.
Ruusuvuori, P.
Wählby, C.
Grönberg, H.
Rantalainen, M.
Egevad, L.
Eklund, M.
Li, Z.
Keel, S.
Liu, C.
He, Y.
Meng, W.
Scheetz, J.
Lee, P.Y.
Shaw, J.
Ting, D.
Wong, T.Y.
Taylor, H.
Chang, R.
He, M.
Bull, S.
Zalesky, A.
Nasution, B.B.
Khan, A.I.
Kim, I.S.
Jeong, Y.J.
Lee, C.W.
Yarlagadda, P.K.D.V.
Guan, L.
Wen, W.
Sivanathan, A.
Gharakheili, H.H.
Loi, F.
Radford, A.
Wijenayake, C.
Vishwanath, A.
Sivaraman, V.
Abdallah, Z.S.
Gaber, M.M.
Srinivasan, B.
Krishnaswamy, S.
Purarjomandlangrudi, A.
Ghapanchi, A.H.
Esmalifalak, M.
Lee, W.S.
Nguyen, H.
Bui, X.-N.
